r,H2O,HDO,D2O
0.10,-0.087,0.129,-0.263
0.15,-0.138,0.088,-0.278
0.20,-0.094,0.095,-0.280
0.25,-0.192,0.056,-0.283
0.30,-0.254,0.011,-0.289
0.35,-0.304,-0.025,-0.293
0.40,-0.354,-0.066,-0.299
0.45,-0.302,-0.061,-0.299
0.50,-0.283,-0.064,-0.298
0.55,-0.259,-0.059,-0.298
0.60,-0.230,-0.051,-0.297
0.65,-0.214,-0.047,-0.297
0.70,-0.200,-0.045,-0.295
0.75,-0.189,-0.044,-0.293
0.80,-0.176,-0.041,-0.290
0.85,-0.166,-0.040,-0.287
0.90,-0.154,-0.037,-0.282
0.95,-0.149,-0.038,-0.277
1.00,-0.142,-0.036,-0.270
1.05,-0.133,-0.033,-0.261
1.10,-0.129,-0.032,-0.251
1.15,-0.124,-0.029,-0.238
1.20,-0.119,-0.025,-0.223
1.25,-0.113,-0.021,-0.204
1.30,-0.112,-0.016,-0.183
1.35,-0.119,-0.012,-0.159
1.40,-0.128,-0.010,-0.131
1.45,-0.138,-0.006,-0.096
1.50,-0.151,-0.004,-0.057
1.55,-0.163,0.001,-0.013
1.60,-0.172,0.010,0.037
1.65,-0.176,0.021,0.091
1.70,-0.177,0.036,0.145
1.75,-0.176,0.051,0.198
1.80,-0.171,0.066,0.246
1.85,-0.166,0.080,0.283
1.90,-0.159,0.090,0.307
1.95,-0.154,0.097,0.316
2.00,-0.148,0.099,0.312
2.05,-0.142,0.098,0.295
2.10,-0.137,0.095,0.271
2.15,-0.131,0.089,0.241
2.20,-0.124,0.083,0.211
2.25,-0.119,0.075,0.181
2.30,-0.113,0.068,0.152
2.35,-0.106,0.061,0.127
2.40,-0.098,0.055,0.104
2.45,-0.087,0.051,0.084
2.50,-0.078,0.046,0.066
2.55,-0.064,0.043,0.050
2.60,-0.051,0.040,0.035
2.65,-0.043,0.034,0.021
2.70,-0.031,0.028,0.007
2.75,-0.020,0.024,-0.006
2.80,-0.006,0.019,-0.019
2.85,0.016,0.019,-0.030
2.90,0.035,0.018,-0.041
2.95,0.048,0.012,-0.052
3.00,0.060,0.007,-0.061
3.05,0.074,0.004,-0.067
3.10,0.080,-0.002,-0.071
3.15,0.080,-0.008,-0.073
3.20,0.076,-0.015,-0.074
3.25,0.072,-0.020,-0.073
3.30,0.062,-0.026,-0.069
3.35,0.053,-0.030,-0.066
3.40,0.041,-0.034,-0.062
3.45,0.032,-0.036,-0.057
3.50,0.023,-0.039,-0.054
3.55,0.012,-0.041,-0.051
3.60,0.004,-0.041,-0.048
3.65,-0.002,-0.042,-0.046
3.70,-0.009,-0.041,-0.044
3.75,-0.014,-0.040,-0.042
3.80,-0.017,-0.039,-0.041
3.85,-0.020,-0.037,-0.040
3.90,-0.023,-0.037,-0.040
3.95,-0.025,-0.035,-0.040
