GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-1562.7131,-13842.6137,-2228.081,68.79868343999999,-15405.326799999999,-2159.2823165600003,-17564.60911656
1,-1504.9885,-13731.0881,-2324.947,72.12741264,-15236.0766,-2252.8195873600002,-17488.896187360002
2,-1437.2885,-13824.6709,-2290.4849,75.14843904,-15261.9594,-2215.33646096,-17477.29586096
3,-1502.7337,-13786.9586,-2294.2559,74.89942776,-15289.6923,-2219.35647224,-17509.04877224
4,-1511.0344,-13922.2434,-2221.5284,70.89453216,-15433.2778,-2150.63386784,-17583.91166784
5,-1515.6744,-13885.8774,-2196.7661,70.45026408,-15401.5518,-2126.3158359199997,-17527.86763592
6,-1490.1501,-13786.431,-2295.6249,71.50733208,-15276.581100000001,-2224.1175679199996,-17500.69866792
7,-1519.815,-13760.3036,-2351.662,71.512272,-15280.1186,-2280.149728,-17560.268328
8,-1549.1467,-13784.431,-2350.6388,69.63510528,-15333.5777,-2281.00369472,-17614.58139472
9,-1505.8018,-13808.5573,-2280.2066,70.67396735999999,-15314.3591,-2209.53263264,-17523.89173264
10,-1514.5471,-13881.5861,-2179.3281,69.79448375999999,-15396.1332,-2109.5336162400004,-17505.66681624
11,-1523.862,-13833.8636,-2221.3728,69.80544576,-15357.725600000002,-2151.56735424,-17509.29295424
12,-1509.1305,-13885.0293,-2235.1903,68.75227079999999,-15394.1598,-2166.4380292,-17560.5978292
13,-1520.2649,-13897.7758,-2192.5861,68.9149188,-15418.0407,-2123.6711812,-17541.711881199997
14,-1522.7664,-13945.2652,-2226.3681,67.514274,-15468.0316,-2158.853826,-17626.885426
15,-1525.3047,-13891.7455,-2248.9569,68.20613712,-15417.050200000001,-2180.7507628800004,-17597.800962880003
16,-1518.2704,-13779.541,-2322.653,68.54256576,-15297.811399999999,-2254.11043424,-17551.921834239998
17,-1563.4795,-13816.1152,-2278.7149,69.73753896,-15379.5947,-2208.97736104,-17588.572061040002
18,-1519.0936,-13822.6352,-2302.1131,71.37440928,-15341.7288,-2230.7386907200002,-17572.46749072
19,-1497.4099,-13828.904,-2342.7406,72.56731824,-15326.313900000001,-2270.17328176,-17596.487181760003
20,-1511.32,-13912.6697,-2184.9458,71.08167671999999,-15423.9897,-2113.86412328,-17537.85382328
21,-1528.4353,-13822.8288,-2236.8317,71.24112216,-15351.2641,-2165.59057784,-17516.854677839998
22,-1512.9603,-13722.2263,-2365.4444,75.01277952,-15235.1866,-2290.4316204799998,-17525.618220480002
23,-1510.5901,-13762.7068,-2296.4451,70.8474744,-15273.2969,-2225.5976256,-17498.894525599997
24,-1496.0754,-13935.7979,-2211.5988,72.98714519999999,-15431.8733,-2138.6116548,-17570.4849548
25,-1522.4935,-13684.9649,-2369.2499,72.11099664,-15207.458400000001,-2297.13890336,-17504.597303360002
26,-1532.6732,-13776.6532,-2287.1007,69.78421224,-15309.3264,-2217.3164877599997,-17526.64288776
27,-1558.0824,-13803.636,-2262.2288,71.40276648,-15361.7184,-2190.82603352,-17552.544433519997
28,-1534.2931,-13861.0541,-2286.1614,72.27445536,-15395.3472,-2213.88694464,-17609.234144640002
29,-1570.017,-13887.2215,-2264.7454,69.625242,-15457.2385,-2195.1201579999997,-17652.358658
30,-1541.4124,-13868.2127,-2248.5998,70.12483415999999,-15409.6251,-2178.47496584,-17588.10006584
31,-1544.5798,-13879.6802,-2229.1711,70.31508840000001,-15424.26,-2158.8560116,-17583.116011600003
32,-1522.2156,-13959.0915,-2160.6584,68.00976216000001,-15481.3071,-2092.64863784,-17573.95573784
33,-1505.9546,-13942.6611,-2139.8257,69.31404,-15448.615699999998,-2070.5116599999997,-17519.12736
34,-1529.6866,-13935.4571,-2169.2011,70.16906375999999,-15465.1437,-2099.0320362400003,-17564.17573624
35,-1521.6419,-13874.7223,-2239.5922,67.116438,-15396.3642,-2172.475762,-17568.839962
36,-1520.0344,-13826.987,-2262.5377,68.319036,-15347.0214,-2194.218664,-17541.240063999998
37,-1508.3753,-13842.9434,-2236.7067,71.56385136,-15351.3187,-2165.14284864,-17516.46154864
38,-1496.0184,-13825.1255,-2253.6413,70.62038136,-15321.1439,-2183.0209186399998,-17504.164818639998
39,-1515.144,-13884.7427,-2217.3368,69.64031159999999,-15399.886700000001,-2147.6964884,-17547.5831884
40,-1533.0128,-13932.9696,-2192.685,70.43427863999999,-15465.9824,-2122.25072136,-17588.23312136
41,-1518.2313,-13924.9283,-2199.0553,69.73642368,-15443.159599999999,-2129.31887632,-17572.47847632
42,-1526.6808,-13955.8143,-2169.2922,72.23517647999999,-15482.4951,-2097.05702352,-17579.55212352
43,-1503.2821,-13883.2986,-2264.2343,74.07777096,-15386.5807,-2190.15652904,-17576.73722904
44,-1469.6301,-14004.0016,-2171.6137,72.34670591999999,-15473.6317,-2099.2669940799997,-17572.89869408
45,-1496.1965,-13988.5119,-2110.5495,71.58184056,-15484.7084,-2038.96765944,-17523.67605944
46,-1491.5752,-13937.6138,-2189.077,75.89316024,-15429.188999999998,-2113.1838397600004,-17542.37283976
47,-1481.6221,-13790.2888,-2298.0193,75.83026032000001,-15271.9109,-2222.18903968,-17494.099939680003
48,-1501.105,-13941.109,-2227.5562,73.63272168,-15442.214,-2153.92347832,-17596.13747832
49,-1482.0256,-13897.014,-2254.1836,74.25618912,-15379.0396,-2179.92741088,-17558.967010880002
50,-1491.3434,-13915.9981,-2247.7884,72.76766832,-15407.3415,-2175.0207316799997,-17582.36223168
51,-1471.7482,-13857.34,-2254.1647,72.6663564,-15329.0882,-2181.4983435999998,-17510.5865436
52,-1490.2718,-13899.9646,-2248.6095,74.39085648,-15390.2364,-2174.21864352,-17564.45504352
53,-1477.0101,-13833.2859,-2317.0367,75.21844535999999,-15310.296,-2241.8182546400003,-17552.11425464
54,-1512.7984,-13804.9458,-2299.8057,76.0733676,-15317.7442,-2223.7323324,-17541.476532399996
55,-1476.4178,-13771.9675,-2346.1982,76.92825599999999,-15248.3853,-2269.2699439999997,-17517.655244
56,-1487.4182,-13860.3314,-2302.7251,74.3372172,-15347.7496,-2228.3878828,-17576.137482799997
57,-1499.7029,-13879.8542,-2285.8182,76.88103336,-15379.5571,-2208.93716664,-17588.49426664
58,-1481.0487,-13873.4194,-2319.3953,76.5754776,-15354.4681,-2242.8198224000002,-17597.287922400003
59,-1458.2641,-13689.6084,-2446.3568,74.23570728,-15147.8725,-2372.12109272,-17519.99359272
60,-1494.1679,-13874.3878,-2322.875,73.45815624,-15368.5557,-2249.41684376,-17617.97254376
61,-1476.5017,-13911.8388,-2272.0433,73.13694552,-15388.3405,-2198.9063544799997,-17587.24685448
62,-1516.2927,-13815.5862,-2350.7211,72.4098204,-15331.8789,-2278.3112796,-17610.1901796
63,-1501.7626,-13776.411,-2388.3972,76.09903632,-15278.1736,-2312.29816368,-17590.47176368
64,-1507.6649,-13820.6398,-2419.9669,73.57674168,-15328.3047,-2346.39015832,-17674.69485832
65,-1464.9537,-13685.3565,-2464.8615,75.79228536,-15150.3102,-2389.06921464,-17539.37941464
66,-1502.0738,-13673.659,-2461.5064,77.15330424,-15175.7328,-2384.35309576,-17560.08589576
67,-1481.3762,-13733.7453,-2414.4228,75.64132728,-15215.121500000001,-2338.78147272,-17553.902972720003
68,-1484.2057,-13690.6504,-2426.6631,77.62444632,-15174.8561,-2349.03865368,-17523.894753680004
69,-1481.4624,-13752.5973,-2386.4397,77.562846,-15234.0597,-2308.876854,-17542.936554
70,-1471.3884,-13855.4553,-2325.6107,77.32779695999999,-15326.8437,-2248.2829030400003,-17575.12660304
71,-1453.7276,-13812.3975,-2303.09,77.44624776,-15266.1251,-2225.64375224,-17491.768852240002
72,-1479.8894,-13893.7505,-2308.5197,78.01886375999999,-15373.6399,-2230.50083624,-17604.14073624
73,-1467.053,-13906.186,-2285.409,76.73935464,-15373.239,-2208.6696453600002,-17581.90864536
74,-1472.2335,-13887.5278,-2274.9651,76.91501016,-15359.7613,-2198.05008984,-17557.81138984
75,-1481.9512,-13854.1076,-2310.0882,75.83782824,-15336.058799999999,-2234.2503717600002,-17570.309171759996
76,-1460.9998,-13997.2588,-2198.3469,74.32303104,-15458.2586,-2124.02386896,-17582.28246896
77,-1496.0327,-13849.7982,-2296.8483,75.67032311999999,-15345.830899999999,-2221.17797688,-17567.008876879998
78,-1491.3136,-13740.9415,-2376.1753,75.7066464,-15232.2551,-2300.4686536,-17532.7237536
79,-1466.1477,-13844.0155,-2341.3035,76.45612320000001,-15310.163199999999,-2264.8473768,-17575.010576799996
80,-1465.2725,-13794.0009,-2378.2672,77.79015504,-15259.273399999998,-2300.4770449599996,-17559.75044496
81,-1460.09,-13845.8596,-2323.966,77.29602263999999,-15305.9496,-2246.66997736,-17552.61957736
82,-1481.0646,-13799.2751,-2357.1113,75.81256416000001,-15280.3397,-2281.29873584,-17561.63843584
83,-1491.6388,-13888.1719,-2267.7401,76.90970304,-15379.8107,-2190.83039696,-17570.64109696
84,-1454.0816,-13911.6187,-2302.995,78.74931167999999,-15365.7003,-2224.2456883199998,-17589.94598832
85,-1437.3155,-13921.027,-2258.9195,76.82476896,-15358.3425,-2182.09473104,-17540.437231040003
86,-1473.6495,-13863.0646,-2335.8525,78.74302103999999,-15336.7141,-2257.10947896,-17593.823578959997
87,-1437.1904,-13789.1332,-2363.3739,78.5802456,-15226.3236,-2284.7936544,-17511.1172544
88,-1482.7826,-13704.2655,-2428.8579,79.16208336,-15187.0481,-2349.69581664,-17536.74391664
89,-1468.8271,-13769.5364,-2367.5487,77.07282552,-15238.363500000001,-2290.4758744799997,-17528.83937448
90,-1492.5345,-13861.2211,-2297.5462,76.38691104,-15353.7556,-2221.15928896,-17574.91488896
91,-1471.8165,-13778.9974,-2312.634,76.31137799999999,-15250.813900000001,-2236.322622,-17487.136522
92,-1464.6609,-13803.3742,-2347.3229,77.89224168,-15268.035100000001,-2269.43065832,-17537.46575832
93,-1473.9815,-13823.928,-2328.6031,75.47939136,-15297.9095,-2253.1237086399997,-17551.033208639998
94,-1475.2882,-13870.2432,-2274.6732,75.42329112,-15345.5314,-2199.24990888,-17544.78130888
95,-1472.4049,-13812.3308,-2315.0639,77.75995392,-15284.7357,-2237.30394608,-17522.03964608
96,-1480.4839,-13876.1614,-2268.1527,77.4559584,-15356.6453,-2190.6967416,-17547.342041599997
97,-1466.4363,-13884.3523,-2321.033,77.2548264,-15350.7886,-2243.7781735999997,-17594.5667736
98,-1455.1359,-13882.1146,-2304.7767,78.74407296,-15337.2505,-2226.03262704,-17563.283127040002
99,-1458.1062,-13793.1141,-2326.8664,78.26745096,-15251.2203,-2248.5989490399998,-17499.81924904

Receptor Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-1475.4438,-13703.9777,-2267.5985,72.45366695999999,-15179.4215,-2195.14483304,-17374.566333040002
1,-1423.9536,-13606.0484,-2360.0086,75.77587079999999,-15030.002,-2284.2327292,-17314.2347292
2,-1363.4391,-13691.5243,-2321.0939,78.46682904000001,-15054.963399999999,-2242.62707096,-17297.59047096
3,-1424.2922,-13653.7537,-2329.5083,78.1867872,-15078.0459,-2251.3215128,-17329.3674128
4,-1433.9559,-13788.0139,-2257.4057,74.18607912,-15221.969799999999,-2183.2196208799996,-17405.189420879997
5,-1438.1609,-13765.0104,-2228.1087,74.13843239999999,-15203.1713,-2153.9702676,-17357.1415676
6,-1411.1092,-13659.4118,-2329.8646,74.67476112,-15070.521,-2255.18983888,-17325.71083888
7,-1438.8561,-13624.4713,-2396.3341,74.87653968,-15063.327399999998,-2321.45756032,-17384.784960319997
8,-1468.7628,-13648.1798,-2387.236,73.18987127999999,-15116.9426,-2314.04612872,-17430.98872872
9,-1433.6187,-13675.2886,-2317.4703,73.93027968,-15108.907299999999,-2243.54002032,-17352.44732032
10,-1432.1053,-13753.1056,-2215.0692,73.66315464,-15185.2109,-2141.40604536,-17326.61694536
11,-1443.5937,-13700.0242,-2254.8568,73.44118512,-15143.6179,-2181.4156148800002,-17325.03351488
12,-1433.5072,-13748.9794,-2265.9481,72.473202,-15182.4866,-2193.474898,-17375.961498
13,-1439.5972,-13773.0783,-2219.8095,72.42245999999999,-15212.6755,-2147.38704,-17360.06254
14,-1450.7665,-13818.6073,-2253.1832,71.0302176,-15269.3738,-2182.1529824,-17451.5267824
15,-1444.986,-13762.5578,-2278.2906,72.03476664,-15207.543800000001,-2206.25583336,-17413.79963336
16,-1440.1816,-13648.4999,-2354.0418,72.34777008,-15088.6815,-2281.69402992,-17370.375529920002
17,-1487.3087,-13690.715,-2309.3737,73.33353504,-15178.0237,-2236.0401649600003,-17414.06386496
18,-1436.3042,-13695.8752,-2329.2004,74.96917631999999,-15132.1794,-2254.2312236800003,-17386.410623680003
19,-1409.7028,-13697.6392,-2372.8875,76.45346135999999,-15107.342,-2296.43403864,-17403.77603864
