POISSON BOLTZMANN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-1562.7131,-13842.6137,-1874.1994,1568.4757,-888.6033,-15405.326799999999,-1194.327,-16599.6538
1,-1504.9885,-13731.0881,-1956.0255,1591.8503,-911.1085,-15236.0766,-1275.2837,-16511.3603
2,-1437.2885,-13824.6709,-1924.6516,1600.1616,-923.2804,-15261.9594,-1247.7703999999999,-16509.7298
3,-1502.7337,-13786.9586,-1927.991,1597.6904,-915.522,-15289.6923,-1245.8226,-16535.514900000002
4,-1511.0344,-13922.2434,-1857.1403,1582.4948,-897.1361,-15433.2778,-1171.7816000000003,-16605.0594
5,-1515.6744,-13885.8774,-1842.7887,1583.1421,-894.3482,-15401.5518,-1153.9948,-16555.546599999998
6,-1490.1501,-13786.431,-1952.1513,1589.2988,-905.1758,-15276.581100000001,-1268.0283,-16544.6094
7,-1519.815,-13760.3036,-2001.8583,1584.6258,-897.6013,-15280.1186,-1314.8338,-16594.952400000002
8,-1549.1467,-13784.431,-2013.858,1573.574,-889.6283,-15333.5777,-1329.9123,-16663.489999999998
9,-1505.8018,-13808.5573,-1961.265,1581.375,-903.9303,-15314.3591,-1283.8203,-16598.1794
10,-1514.5471,-13881.5861,-1826.6985,1575.1852,-898.9266,-15396.1332,-1150.4399,-16546.573099999998
11,-1523.862,-13833.8636,-1908.4526,1578.214,-888.5514,-15357.725600000002,-1218.79,-16576.515600000002
12,-1509.1305,-13885.0293,-1887.727,1573.8433,-888.938,-15394.1598,-1202.8217,-16596.981499999998
13,-1520.2649,-13897.7758,-1858.0406,1573.8859,-889.9394,-15418.0407,-1174.0941,-16592.1348
14,-1522.7664,-13945.2652,-1915.2243,1561.0197,-889.9683,-15468.0316,-1244.1729,-16712.2045
15,-1525.3047,-13891.7455,-1927.0996,1567.3417,-889.2155,-15417.050200000001,-1248.9734,-16666.0236
16,-1518.2704,-13779.541,-1971.9136,1572.6196,-887.4664,-15297.811399999999,-1286.7604000000001,-16584.571799999998
